Date,^BVSP,SPY,IEF,BRL=X,EURUSD=X,JPY=X,GLD,DBC
2003-08-18,14146.00,65.96068,43.32275,,,118.5700,,
2003-08-19,14158.00,66.21008,43.66663,,,118.0600,,
2003-08-20,14467.00,65.94096,43.45821,,,117.8300,,
2003-08-21,14670.00,66.15099,43.29667,,,117.4900,,
2003-08-22,14613.00,65.49453,43.32796,,,,,
2003-08-24,,,,,,117.2300,,
2003-08-25,14473.00,65.59959,43.14037,,,117.3000,,
2003-08-26,14878.00,65.71775,43.29667,,,117.4800,,
2003-08-27,15143.00,65.73744,43.19250,,,117.3200,,
2003-08-28,15065.00,66.14445,43.49467,,,116.8900,,
2003-08-29,15174.00,66.59083,43.37483,,,,,
2003-08-31,,,,,,116.5000,,
2003-09-01,15352.00,,,,,116.4400,,
2003-09-02,15454.00,67.48359,43.19816,,,115.9100,,
2003-09-03,15634.00,67.85123,43.30857,,,116.8500,,
2003-09-04,15705.00,67.88405,43.58730,,,116.7900,,
2003-09-05,15900.00,67.50330,44.13943,,,,,
2003-09-07,,,,,,116.6100,,
2003-09-08,16050.00,68.06127,43.93435,,,116.8100,,
2003-09-09,15718.00,67.61495,44.14470,,,117.0700,,
2003-09-10,15983.00,66.93221,44.44441,,,117.0800,,
2003-09-11,16292.00,67.12917,44.28666,,,117.2700,,
2003-09-12,16421.00,67.25387,44.46541,,,,,
2003-09-14,,,,,,117.4100,,
2003-09-15,16342.00,67.01752,44.54437,,,116.1900,,
2003-09-16,16270.00,67.99561,44.50753,,,116.1100,,
2003-09-17,16492.00,67.86434,44.75465,,,115.2300,,
2003-09-18,16889.00,68.66522,44.74940,,,113.9100,,
2003-09-19,16851.00,68.31596,44.74940,,,,,
2003-09-21,,,,,,112.0700,,
2003-09-22,16486.00,67.57793,44.55486,,,112.2700,,
2003-09-23,16444.00,67.83490,44.66002,,,111.8900,,
2003-09-24,16058.00,66.62900,44.88615,,,112.1000,,
2003-09-25,15806.00,66.08204,44.94925,,,111.6900,,
2003-09-26,15811.00,65.86461,45.29102,,,,,
2003-09-28,,,,,,110.8200,,
2003-09-29,16109.00,66.51034,45.09647,,,111.2900,,
2003-09-30,16011.00,65.86461,45.53292,,,111.2300,,
2003-10-01,16579.00,67.26819,45.73496,,,110.8700,,
2003-10-02,16894.00,67.51200,45.57052,,,110.8100,,
2003-10-03,17089.00,68.13148,44.93946,,,,,
2003-10-05,,,,,,110.9300,,
2003-10-06,17273.00,68.44120,45.07204,,,109.9100,,
2003-10-07,17470.00,68.70476,44.81222,,,109.5200,,
2003-10-08,17805.00,68.53344,44.89175,,,109.1000,,
2003-10-09,17708.00,68.71793,44.74858,,,108.5600,,
2003-10-10,17676.00,68.90904,44.88115,,,,,
2003-10-12,,,,,,108.9800,,
2003-10-13,18062.00,69.12653,44.81222,,,108.7900,,
2003-10-14,18178.00,69.37037,44.63189,,,109.5100,,
2003-10-15,17942.00,69.18581,44.47280,,,109.7700,,
2003-10-16,17955.00,69.46258,44.22885,,,109.3000,,
2003-10-17,17791.00,68.70476,44.46748,,,,,
2003-10-19,,,,,,110.1800,,
2003-10-20,18370.00,69.21880,44.49927,,,109.5600,,
2003-10-21,18449.00,69.10020,44.57888,,,108.9600,,
2003-10-22,18235.00,68.23029,44.90235,,,109.4200,,
2003-10-23,17690.00,68.10506,44.75919,,,109.2300,,
2003-10-24,17814.00,68.25664,45.07204,,,,,
2003-10-27,17750.00,68.28964,44.95010,,,108.4300,,
2003-10-28,18228.00,69.21880,45.16221,,,108.1500,,
2003-10-29,17945.00,69.31101,44.87053,,,108.2200,,
2003-10-30,18094.00,69.45599,44.70613,,,108.6000,,
2003-10-31,17982.00,69.39010,44.86527,,,110.0000,,
2003-11-03,18517.00,69.84484,44.69446,,,110.8000,,
2003-11-04,18541.00,69.69321,44.85405,,,109.5500,,
2003-11-05,18307.00,69.74595,44.69446,,,109.8600,,
2003-11-06,18613.00,70.11499,44.46563,,,110.1700,,
2003-11-07,18672.00,69.59438,44.39114,,,109.3300,,
2003-11-10,18572.00,69.31101,44.37520,,,108.7300,,
2003-11-11,18409.00,69.29122,44.44438,,,108.7700,,
2003-11-12,18794.00,70.06886,44.58800,,,108.6800,,
2003-11-13,18755.00,70.08866,44.97646,,,108.0300,,
2003-11-14,18986.00,69.49555,45.22116,,,108.3000,,
2003-11-17,18669.00,69.14629,45.27441,,,109.0100,,
2003-11-18,18813.00,68.42796,45.46063,,,108.0600,,
